from_idx,from_price,to_idx,to_price,label
82,111.0,108,123.0,XXD->XSG (蓝色实线，向上线段)
108,123.0,135,112.5,XSG->XXD (蓝色实线，向下线段)
135,112.5,165,128.0,XXD->XSG (蓝色实线，向上线段)
165,128.0,195,115.5,XSG->XXD (蓝色实线，向下线段)
195,115.5,233,131.0,XXD->XSG (蓝色实线，向上线段)
25,122.0,82,111.0,G@k25->XXD (黄色虚线，向下线段)
233,131.0,250,121.0,XSG->D@k250 (黄色实线，向下线段)
