idx,datetime,open,high,low,close
0,2023-04-27 15:00,66.0,67.48,61.66,63.0
1,2023-05-04 15:00,65.04,70.6,63.68,64.21
2,2023-05-05 15:00,64.0,66.71,58.81,59.65
3,2023-05-08 15:00,60.1,64.31,58.5,61.94
4,2023-05-10 15:00,61.02,67.88,61.01,61.56
5,2023-05-11 15:00,61.01,63.87,60.41,60.89
6,2023-05-12 15:00,61.0,66.18,60.85,62.77
7,2023-05-15 15:00,64.13,66.0,59.5,63.61
8,2023-05-16 15:00,61.64,62.34,58.49,59.99
9,2023-05-17 15:00,60.5,63.63,59.23,61.46
10,2023-05-19 15:00,67.0,73.75,65.55,66.3
11,2023-05-22 15:00,64.51,66.16,61.28,62.39
12,2023-05-23 15:00,62.8,63.98,60.78,63.03
13,2023-05-24 15:00,61.47,67.02,61.03,64.08
14,2023-05-25 15:00,68.88,71.8,64.0,68.55
15,2023-05-26 15:00,67.0,72.6,66.8,69.4
16,2023-05-29 15:00,72.0,75.44,69.91,71.49
17,2023-05-30 15:00,72.27,78.4,71.6,76.31
18,2023-06-01 15:00,75.32,87.87,79.99,81.8
19,2023-06-02 15:00,83.1,84.0,78.29,79.23
20,2023-06-05 15:00,77.16,82.66,77.0,80.25
21,2023-06-06 15:00,79.3,84.7,78.68,79.5
22,2023-06-07 15:00,79.75,83.68,77.48,80.55
23,2023-06-08 15:00,56.01,56.95,52.87,55.08
24,2023-06-09 15:00,55.08,60.38,54.3,58.89
25,2023-06-13 15:00,58.18,64.56,58.17,61.38
26,2023-06-16 15:00,61.5,69.15,63.58,68.64
27,2023-06-20 15:00,69.64,81.18,72.75,80.0
28,2023-06-21 15:00,77.92,77.92,70.01,70.44
29,2023-06-26 15:00,70.01,71.09,63.4,64.28
30,2023-06-27 15:00,64.28,64.62,60.88,61.56
31,2023-06-28 15:00,59.5,59.5,55.13,57.0
32,2023-06-29 15:00,58.0,61.53,56.11,60.6
33,2023-06-30 15:00,59.39,70.5,59.05,67.97
34,2023-07-03 15:00,68.5,70.68,61.25,67.76
35,2023-07-04 15:00,68.54,74.2,68.54,71.39
36,2023-07-05 15:00,71.39,71.6,65.8,66.41
37,2023-07-06 15:00,66.3,71.5,65.01,68.0
38,2023-07-07 15:00,68.55,70.33,63.83,67.48
39,2023-07-10 15:00,66.51,68.4,63.32,64.85
40,2023-07-11 15:00,64.65,65.77,62.9,65.3
41,2023-07-13 15:00,64.4,63.77,58.92,63.4
42,2023-07-14 15:00,66.15,67.68,64.0,65.39
43,2023-07-17 15:00,65.4,68.5,64.05,68.18
44,2023-07-18 15:00,69.21,69.9,64.85,65.03
45,2023-07-19 15:00,66.42,66.95,63.54,64.17
46,2023-07-20 15:00,63.47,63.63,57.51,57.82
47,2023-07-24 15:00,58.0,58.49,54.1,56.55
48,2023-07-25 15:00,57.73,60.25,55.88,57.8
49,2023-07-26 15:00,57.81,58.0,53.8,55.0
50,2023-07-27 15:00,55.12,55.32,52.94,53.49
51,2023-07-28 15:00,53.49,54.32,51.87,52.6
52,2023-08-01 15:00,51.65,54.2,50.2,53.77
53,2023-08-02 15:00,53.01,55.5,52.81,54.59
54,2023-08-04 15:00,53.5,57.07,52.85,56.73
55,2023-08-07 15:00,57.48,60.5,57.18,57.67
56,2023-08-08 15:00,57.5,59.5,55.61,55.69
57,2023-08-09 15:00,55.16,56.48,52.54,52.77
58,2023-08-10 15:00,52.35,53.7,51.37,51.76
59,2023-08-11 15:00,52.69,52.69,50.61,50.65
60,2023-08-14 15:00,49.79,51.14,49.18,51.0
61,2023-08-15 15:00,53.33,53.77,50.0,50.34
62,2023-08-17 15:00,50.02,50.7,47.91,50.18
63,2023-08-18 15:00,50.01,50.49,47.0,47.0
64,2023-08-21 15:00,46.97,49.38,46.5,47.86
65,2023-08-22 15:00,49.2,50.25,47.23,49.96
66,2023-08-23 15:00,49.29,49.68,47.15,47.2
67,2023-08-24 15:00,49.0,49.0,46.55,46.9
68,2023-08-25 15:00,44.01,46.0,43.35,43.8
69,2023-08-29 15:00,46.34,46.8,43.44,45.15
70,2023-08-31 15:00,45.76,47.09,44.98,45.58
71,2023-09-04 15:00,45.02,45.07,43.74,44.84
72,2023-09-05 15:00,44.75,44.75,43.51,43.8
73,2023-09-06 15:00,43.5,44.1,43.0,43.83
74,2023-09-07 15:00,43.75,43.8,42.1,42.19
75,2023-09-08 15:00,42.01,42.5,41.02,41.39
76,2023-09-11 15:00,41.65,45.38,41.65,44.02
77,2023-09-12 15:00,43.54,45.8,43.4,44.28
78,2023-09-13 15:00,44.0,44.35,42.0,42.49
79,2023-09-14 15:00,42.85,43.4,41.57,41.82
80,2023-09-15 15:00,41.57,41.96,40.02,40.25
81,2023-09-18 15:00,40.25,40.57,38.84,39.05
82,2023-09-19 15:00,39.05,39.88,38.04,38.92
83,2023-09-21 15:00,38.75,41.5,39.23,39.8
84,2023-09-22 15:00,39.98,45.1,39.83,44.64
85,2023-09-26 15:00,44.05,45.47,43.01,43.86
86,2023-09-27 15:00,44.39,46.45,43.86,45.1
87,2023-09-28 15:00,46.18,47.53,45.1,46.0
88,2023-10-10 15:00,45.15,46.0,43.99,44.73
89,2023-10-11 15:00,44.5,46.52,44.18,45.03
90,2023-10-12 15:00,45.65,45.82,43.51,43.73
91,2023-10-13 15:00,43.18,44.53,42.4,42.87
92,2023-10-16 15:00,42.02,43.05,40.88,41.2
93,2023-10-17 15:00,41.22,42.05,39.86,41.07
94,2023-10-19 15:00,39.9,39.58,37.22,38.12
95,2023-10-20 15:00,38.01,38.44,36.41,36.56
96,2023-10-24 15:00,35.68,35.24,32.5,33.96
97,2023-10-25 15:00,33.95,34.05,32.05,32.26
98,2023-10-27 15:00,32.26,32.7,31.61,32.41
99,2023-10-30 15:00,32.4,32.67,31.36,32.44
100,2023-10-31 15:00,32.42,32.42,31.07,31.38
101,2023-11-01 15:00,31.43,31.88,30.6,30.68
102,2023-11-02 15:00,30.99,31.46,29.98,30.06
103,2023-11-03 15:00,30.49,33.45,30.15,32.0
104,2023-11-06 15:00,32.32,33.5,31.98,33.01
105,2023-11-07 15:00,32.94,39.61,32.65,39.61
106,2023-11-08 15:00,38.0,41.64,37.8,41.25
107,2023-11-09 15:00,42.18,42.91,40.6,41.41
108,2023-11-10 15:00,40.71,43.5,40.71,42.6
109,2023-11-14 15:00,43.56,46.35,43.2,44.06
110,2023-11-15 15:00,45.0,45.38,41.66,42.69
111,2023-11-17 15:00,42.31,43.08,41.2,46.83
112,2023-11-20 15:00,46.02,47.9,45.53,47.24
113,2023-11-21 15:00,47.24,48.22,46.0,46.28
114,2023-11-22 15:00,46.2,46.51,43.3,43.45
115,2023-11-23 15:00,43.22,45.32,42.93,44.65
116,2023-11-27 15:00,44.07,44.6,42.08,45.3
117,2023-11-30 15:00,44.96,46.47,44.17,46.3
118,2023-12-04 15:00,45.81,51.83,48.51,49.0
119,2023-12-05 15:00,48.75,50.22,47.8,48.1
120,2023-12-06 15:00,47.6,49.12,46.96,48.4
121,2023-12-07 15:00,48.4,52.36,48.11,50.98
122,2023-12-11 15:00,51.0,58.2,52.58,55.28
123,2023-12-13 15:00,54.45,53.91,50.86,52.38
124,2023-12-14 15:00,53.39,55.78,52.52,53.8
125,2023-12-18 15:00,54.0,53.25,50.11,51.7
126,2023-12-19 15:00,51.7,52.68,49.75,51.88
127,2023-12-25 15:00,51.27,50.38,47.9,49.47
128,2023-12-28 15:00,48.95,48.34,46.53,48.3
129,2023-12-29 15:00,48.16,50.86,47.91,49.32
130,2024-01-02 15:00,48.76,50.35,47.8,47.97
131,2024-01-03 15:00,47.5,47.74,45.45,46.52
132,2024-01-04 15:00,46.69,47.93,45.88,47.58
133,2024-01-05 15:00,47.29,47.29,44.44,44.72
134,2024-01-08 15:00,44.61,45.61,43.55,43.96
135,2024-01-09 15:00,45.25,46.29,44.8,45.33
136,2024-01-10 15:00,45.0,45.7,43.81,44.39
137,2024-01-11 15:00,44.11,46.56,44.1,45.91
138,2024-01-15 15:00,45.92,45.94,43.61,46.85
139,2024-01-16 15:00,46.43,47.8,45.8,47.79
140,2024-01-19 15:00,48.1,52.77,50.97,51.04
141,2024-01-22 15:00,53.0,54.5,51.93,52.51
142,2024-01-23 15:00,52.11,55.63,52.0,54.79
143,2024-01-24 15:00,54.45,54.7,50.5,53.56
144,2024-01-25 15:00,52.2,55.49,51.59,54.6
145,2024-01-26 15:00,53.11,54.09,51.3,52.0
146,2024-01-29 15:00,51.18,51.18,43.0,44.7
147,2024-01-30 15:00,44.19,46.18,42.24,42.99
148,2024-02-01 15:00,41.98,44.87,41.22,45.47
149,2024-02-06 15:00,45.45,52.38,44.37,51.8
150,2024-02-07 15:00,51.29,53.05,50.9,52.7
151,2024-02-08 15:00,54.2,58.57,53.66,54.9
152,2024-02-20 15:00,58.95,65.88,62.0,63.0
153,2024-02-22 15:00,60.99,61.57,57.84,60.06
154,2024-02-23 15:00,61.5,62.78,59.3,59.96
155,2024-02-26 15:00,58.11,62.68,58.07,60.72
156,2024-02-27 15:00,59.67,65.0,59.12,63.73
157,2024-02-29 15:00,62.61,61.02,57.95,60.05
158,2024-03-01 15:00,60.3,66.06,60.28,64.8
159,2024-03-04 15:00,66.1,71.38,64.12,69.45
160,2024-03-05 15:00,68.29,73.96,67.86,68.68
161,2024-03-06 15:00,68.88,69.69,66.7,67.9
162,2024-03-07 15:00,68.9,69.62,65.38,65.43
163,2024-03-08 15:00,66.8,69.31,65.07,68.81
164,2024-03-11 15:00,65.37,68.58,64.76,67.9
165,2024-03-13 15:00,67.0,70.19,66.12,66.53
166,2024-03-14 15:00,64.84,69.08,64.8,67.8
167,2024-03-15 15:00,66.7,78.25,65.51,76.98
168,2024-03-18 15:00,77.0,82.18,76.32,79.4
169,2024-03-20 15:00,77.3,78.48,73.37,74.93
170,2024-03-21 15:00,75.0,78.49,74.26,75.22
