from_idx,from_price,to_idx,to_price,label
23,137.88999938964844,50,109.1999969482422,XSG->XXD (蓝色实线，向下线段)
50,109.1999969482422,78,140.0,XXD->XSG (蓝色实线，向上线段)
78,140.0,110,114.0999984741211,XSG->XXD (蓝色实线，向下线段)
110,114.0999984741211,133,127.25,XXD->XSG (蓝色实线，向上线段)
133,127.25,259,78.5199966430664,XSG->XXD (蓝色实线，向下线段)
259,78.5199966430664,308,126.0,XXD->XSG (蓝色实线，向上线段)
308,126.0,326,106.9800033569336,XSG->XXD (蓝色实线，向下线段)
326,106.9800033569336,337,122.87000274658205,XXD->XSG (蓝色实线，向上线段)
337,122.87000274658205,416,77.0,XSG->XXD (蓝色实线，向下线段)
416,77.0,434,105.52999877929688,XXD->XSG (蓝色实线，向上线段)
434,105.52999877929688,465,84.76000213623047,XSG->XXD (蓝色实线，向下线段)
465,84.76000213623047,480,97.25,XXD->XSG (蓝色实线，向上线段)
11,106.05999755859376,23,137.88999938964844,D@k11->XSG (黄色虚线，向上线段)
480,97.25,491,92.0,XSG->D@k491 (黄色实线，向下线段)
