from_idx,from_price,to_idx,to_price,label
32,48.09999847412109,139,72.5999984741211,XXD->XSG (蓝色实线，向上线段)
139,72.5999984741211,161,66.29000091552734,XSG->XXD (蓝色实线，向下线段)
161,66.29000091552734,185,80.25,XXD->XSG (蓝色实线，向上线段)
185,80.25,301,63.220001220703125,XSG->XXD (蓝色实线，向下线段)
301,63.220001220703125,342,76.30000305175781,XXD->XSG (蓝色实线，向上线段)
342,76.30000305175781,420,57.40999984741211,XSG->XXD (蓝色实线，向下线段)
420,57.40999984741211,431,64.22000122070312,XXD->XSG (蓝色实线，向上线段)
431,64.22000122070312,450,55.02999877929688,XSG->XXD (蓝色实线，向下线段)
450,55.02999877929688,479,62.900001525878906,XXD->XSG (蓝色实线，向上线段)
479,62.900001525878906,515,52.93999862670898,XSG->XXD (蓝色实线，向下线段)
15,51.709999084472656,32,48.09999847412109,G@k15->XXD (黄色虚线，向下线段)
515,52.93999862670898,554,58.75,XXD->G@k554 (黄色实线，向上线段)
