idx,datetime,open,high,low,close
0,2023-04-27 15:00,84.91,88.0,81.31,82.0
1,2023-04-28 15:00,81.67,84.78,80.35,80.8
2,2023-05-04 15:00,80.34,81.87,77.61,78.38
3,2023-05-05 15:00,78.38,79.88,75.89,76.67
4,2023-05-08 15:00,77.6,78.45,75.16,76.84
5,2023-05-10 15:00,76.0,83.03,76.02,76.35
6,2023-05-11 15:00,76.99,77.98,74.0,76.0
7,2023-05-12 15:00,76.2,78.78,75.17,75.4
8,2023-05-15 15:00,75.85,76.93,74.51,75.9
9,2023-05-17 15:00,76.37,85.0,80.09,80.88
10,2023-05-18 15:00,81.0,92.0,81.0,89.74
11,2023-05-19 15:00,89.7,92.66,87.0,89.89
12,2023-05-23 15:00,89.0,88.99,83.3,87.47
13,2023-05-24 15:00,86.0,92.77,84.58,89.43
14,2023-05-29 15:00,99.0,104.55,95.0,95.77
15,2023-05-30 15:00,94.68,97.88,92.03,97.4
16,2023-05-31 15:00,98.38,99.88,96.03,97.56
17,2023-06-02 15:00,95.5,97.0,92.19,97.67
18,2023-06-05 15:00,95.49,98.13,93.11,93.28
19,2023-06-06 15:00,92.7,92.7,84.67,85.36
20,2023-06-08 15:00,85.73,88.74,83.22,84.45
21,2023-06-09 15:00,84.56,86.76,82.0,86.09
22,2023-06-12 15:00,89.0,91.0,86.13,86.23
23,2023-06-13 15:00,85.0,89.5,84.0,88.88
24,2023-06-15 15:00,88.01,101.49,97.02,98.42
25,2023-06-19 15:00,98.0,98.73,94.6,96.29
26,2023-06-20 15:00,95.19,97.2,90.77,92.22
27,2023-06-21 15:00,92.94,92.94,78.77,78.9
28,2023-06-26 15:00,77.02,78.2,70.39,70.97
29,2023-06-27 15:00,72.07,72.07,68.06,69.5
30,2023-06-28 15:00,69.65,69.95,64.66,65.39
31,2023-06-29 15:00,65.0,67.22,63.0,66.15
32,2023-06-30 15:00,64.74,72.34,64.74,70.3
33,2023-07-03 15:00,72.41,75.0,70.6,71.08
34,2023-07-04 15:00,72.2,77.5,70.75,75.49
35,2023-07-06 15:00,75.33,75.26,69.01,73.89
36,2023-07-07 15:00,73.35,77.31,73.35,74.6
37,2023-07-10 15:00,74.17,75.0,72.11,73.1
38,2023-07-11 15:00,73.19,77.29,72.42,76.45
39,2023-07-12 15:00,76.6,76.97,72.12,72.8
40,2023-07-13 15:00,73.2,76.0,71.46,75.18
41,2023-07-18 15:00,76.62,78.6,74.51,72.97
42,2023-07-20 15:00,72.97,76.9,71.0,71.3
43,2023-07-21 15:00,70.6,72.45,69.49,71.67
44,2023-07-25 15:00,70.83,74.33,70.63,72.0
45,2023-07-26 15:00,71.5,71.5,65.52,66.0
46,2023-07-27 15:00,65.64,66.59,60.78,61.0
47,2023-07-28 15:00,60.54,61.92,58.31,58.8
48,2023-07-31 15:00,58.43,58.98,57.38,57.76
49,2023-08-01 15:00,57.57,58.55,56.3,58.1
50,2023-08-02 15:00,57.19,59.5,57.0,58.2
51,2023-08-04 15:00,57.53,58.39,56.94,57.85
52,2023-08-08 15:00,57.99,59.3,57.66,56.82
53,2023-08-09 15:00,56.41,56.66,55.17,55.4
54,2023-08-10 15:00,55.65,56.58,54.86,55.5
55,2023-08-11 15:00,56.03,56.07,53.68,53.71
56,2023-08-15 15:00,53.6,54.51,52.37,52.96
57,2023-08-16 15:00,53.16,53.44,50.91,51.39
58,2023-08-17 15:00,51.49,52.19,50.21,50.88
59,2023-08-18 15:00,51.01,51.75,49.63,49.84
60,2023-08-22 15:00,49.6,51.5,49.1,50.66
61,2023-08-24 15:00,51.03,50.5,48.5,48.84
62,2023-08-29 15:00,48.49,48.59,45.63,49.55
63,2023-08-30 15:00,50.15,52.01,50.01,51.05
64,2023-08-31 15:00,50.28,55.21,50.28,54.1
65,2023-09-01 15:00,54.3,55.65,52.25,52.51
66,2023-09-04 15:00,52.35,53.45,50.67,52.44
67,2023-09-07 15:00,52.0,55.35,52.05,52.4
68,2023-09-08 15:00,51.81,53.97,51.47,53.4
69,2023-09-12 15:00,53.79,54.5,52.6,53.22
70,2023-09-13 15:00,52.54,53.0,50.2,51.29
71,2023-09-18 15:00,50.78,50.98,48.85,49.37
72,2023-09-20 15:00,49.56,49.58,47.77,48.02
73,2023-09-22 15:00,48.12,48.76,46.92,50.0
74,2023-09-25 15:00,50.03,50.18,48.18,48.6
75,2023-09-26 15:00,48.6,49.2,47.68,47.76
76,2023-09-27 15:00,48.57,48.98,47.19,47.65
77,2023-10-13 15:00,47.97,51.55,49.55,49.88
78,2023-10-16 15:00,49.82,49.9,47.28,47.77
79,2023-10-17 15:00,47.55,48.08,46.42,47.65
80,2023-10-19 15:00,47.5,47.5,45.67,46.86
81,2023-10-20 15:00,46.74,47.35,44.7,44.7
82,2023-10-24 15:00,44.7,44.72,42.74,44.87
83,2023-10-26 15:00,44.5,45.7,44.0,45.14
84,2023-10-27 15:00,44.88,47.5,44.3,46.87
85,2023-10-30 15:00,46.41,49.6,46.41,49.04
86,2023-10-31 15:00,49.47,49.87,47.51,48.1
87,2023-11-02 15:00,48.1,52.35,49.22,49.95
88,2023-11-03 15:00,51.0,54.55,49.72,53.6
89,2023-11-06 15:00,54.13,55.24,52.62,53.1
90,2023-11-07 15:00,53.11,53.99,52.38,53.63
91,2023-11-09 15:00,53.64,54.4,53.0,53.1
92,2023-11-10 15:00,53.09,54.25,52.3,52.93
93,2023-11-13 15:00,53.13,54.45,53.13,53.9
94,2023-11-14 15:00,53.88,56.64,53.28,55.92
95,2023-11-15 15:00,55.92,56.76,54.52,54.8
96,2023-11-16 15:00,54.73,55.47,53.46,53.56
97,2023-11-17 15:00,53.23,54.27,53.09,54.12
98,2023-11-20 15:00,55.53,55.53,53.52,53.74
99,2023-11-21 15:00,54.05,54.32,52.5,52.73
100,2023-11-22 15:00,52.98,53.15,51.18,51.24
101,2023-11-23 15:00,51.24,51.98,50.3,51.52
102,2023-11-27 15:00,51.49,51.49,49.7,50.85
103,2023-11-28 15:00,50.79,52.1,50.03,51.24
104,2023-11-29 15:00,51.25,52.5,50.8,50.8
105,2023-12-04 15:00,50.79,50.75,49.0,50.23
106,2023-12-05 15:00,50.19,50.58,48.81,48.84
107,2023-12-06 15:00,49.5,49.82,47.91,47.93
108,2023-12-07 15:00,47.98,48.98,47.5,48.39
109,2023-12-12 15:00,48.2,50.54,48.76,48.87
110,2023-12-13 15:00,48.52,48.8,47.62,47.74
111,2023-12-14 15:00,47.76,48.4,47.1,47.32
112,2023-12-15 15:00,47.32,47.8,46.46,46.67
113,2023-12-19 15:00,46.67,46.69,45.51,46.37
114,2023-12-20 15:00,46.52,47.1,45.61,45.8
115,2023-12-21 15:00,45.51,46.25,44.56,45.69
