zs_id,seg_type,x_left,x_right,y_bottom,y_top
1,down,69,92,1223.0,1255.0
2,down,101,115,1188.0,1252.5
3,down,121,137,1118.0,1172.0
4,down,146,159,1024.0,1051.5
5,down,166,185,926.5,996.0
1,pending_up,12,40,1114.0,1146.0
