from_idx,from_price,to_idx,to_price,label
48,72.33999633789062,113,124.12999725341795,XXD->XSG (蓝色实线，向上线段)
113,124.12999725341795,128,106.76000213623048,XSG->XXD (蓝色实线，向下线段)
128,106.76000213623048,160,133.47999572753906,XXD->XSG (蓝色实线，向上线段)
160,133.47999572753906,233,102.1999969482422,XSG->XXD (蓝色实线，向下线段)
233,102.1999969482422,258,135.10000610351562,XXD->XSG (蓝色实线，向上线段)
258,135.10000610351562,286,108.1999969482422,XSG->XXD (蓝色实线，向下线段)
286,108.1999969482422,377,177.0,XXD->XSG (蓝色实线，向上线段)
377,177.0,483,67.55000305175781,XSG->XXD (蓝色实线，向下线段)
483,67.55000305175781,510,116.58000183105467,XXD->XSG (蓝色实线，向上线段)
15,89.16999816894531,48,72.33999633789062,G@k15->XXD (黄色虚线，向下线段)
510,116.58000183105467,516,98.55999755859376,XSG->D@k516 (黄色实线，向下线段)
