idx,datetime,open,high,low,close
0,2023-04-27 15:00,26.37,26.38,25.0,25.15
1,2023-04-28 15:00,26.2,26.74,25.78,26.1
2,2023-05-04 15:00,26.05,26.07,25.49,25.62
3,2023-05-05 15:00,25.62,25.91,25.38,25.84
4,2023-05-10 15:00,26.0,26.88,25.9,26.6
5,2023-05-11 15:00,26.6,26.97,26.38,26.53
6,2023-05-15 15:00,26.39,26.53,26.15,26.8
7,2023-05-16 15:00,27.38,27.5,26.66,26.86
8,2023-05-17 15:00,26.99,27.8,26.88,27.67
9,2023-05-18 15:00,27.66,28.14,27.41,27.5
10,2023-05-19 15:00,28.3,28.53,27.78,28.12
11,2023-05-22 15:00,28.1,28.43,27.64,27.85
12,2023-05-25 15:00,27.78,27.96,27.32,27.68
13,2023-05-26 15:00,27.63,27.67,27.07,27.45
14,2023-05-29 15:00,27.6,27.79,27.2,27.35
15,2023-05-30 15:00,27.26,27.66,26.85,27.65
16,2023-05-31 15:00,27.59,27.84,27.15,27.3
17,2023-06-01 15:00,27.31,28.88,27.27,28.5
18,2023-06-02 15:00,28.99,29.22,28.38,28.79
19,2023-06-05 15:00,28.78,28.8,28.21,28.35
20,2023-06-09 15:00,27.71,27.48,26.15,27.18
21,2023-06-12 15:00,27.25,27.88,27.18,27.49
22,2023-06-13 15:00,27.47,28.88,27.46,28.76
23,2023-06-14 15:00,28.92,29.49,28.47,28.64
24,2023-06-15 15:00,28.65,28.76,28.03,28.4
25,2023-06-16 15:00,28.42,29.74,28.31,29.64
26,2023-06-19 15:00,29.56,30.1,29.38,29.89
27,2023-06-20 15:00,30.68,32.08,30.61,31.58
28,2023-06-21 15:00,31.8,31.93,30.4,30.4
29,2023-06-26 15:00,30.0,31.2,29.67,30.35
30,2023-06-28 15:00,30.28,31.72,30.0,30.48
31,2023-06-29 15:00,30.21,32.9,30.21,32.41
32,2023-06-30 15:00,32.83,33.93,32.3,32.45
33,2023-07-03 15:00,32.95,34.53,32.95,33.68
34,2023-07-05 15:00,33.12,34.2,32.89,33.69
35,2023-07-06 15:00,33.38,33.74,32.71,33.25
36,2023-07-07 15:00,33.25,33.59,32.69,33.31
37,2023-07-11 15:00,33.21,33.47,32.48,33.24
38,2023-07-12 15:00,33.13,33.54,32.63,32.75
39,2023-07-13 15:00,32.95,34.69,32.91,34.42
40,2023-07-18 15:00,34.35,35.32,34.0,34.34
41,2023-07-19 15:00,33.9,34.4,33.23,33.56
42,2023-07-20 15:00,33.75,33.94,32.24,32.37
43,2023-07-24 15:00,32.36,32.5,31.57,32.03
44,2023-07-25 15:00,32.65,32.9,31.92,32.06
45,2023-07-26 15:00,31.8,32.28,31.4,32.07
46,2023-07-27 15:00,32.05,32.22,31.21,31.36
47,2023-07-28 15:00,31.32,32.04,31.15,31.82
48,2023-07-31 15:00,31.65,32.8,31.65,32.32
49,2023-08-01 15:00,32.35,33.75,31.94,33.25
50,2023-08-02 15:00,33.03,33.77,32.92,33.35
51,2023-08-04 15:00,33.05,34.89,33.58,33.74
52,2023-08-07 15:00,33.37,34.38,32.93,34.13
53,2023-08-08 15:00,34.07,35.58,34.06,34.82
54,2023-08-09 15:00,34.6,34.72,33.8,34.18
55,2023-08-10 15:00,34.03,34.37,33.73,33.99
56,2023-08-11 15:00,34.25,34.3,33.0,33.1
57,2023-08-14 15:00,32.67,33.0,31.9,32.55
58,2023-08-15 15:00,33.0,33.35,32.1,32.5
59,2023-08-16 15:00,32.32,32.48,31.71,31.84
60,2023-08-17 15:00,31.69,31.97,31.25,31.86
61,2023-08-18 15:00,31.84,31.88,31.0,31.01
62,2023-08-22 15:00,31.02,31.15,30.22,31.71
63,2023-08-23 15:00,31.55,31.7,31.0,31.14
64,2023-08-24 15:00,31.46,32.06,31.21,31.45
65,2023-08-25 15:00,31.11,31.45,30.63,31.0
66,2023-08-28 15:00,33.59,33.59,31.78,32.06
67,2023-08-29 15:00,31.83,32.98,31.66,32.39
68,2023-08-30 15:00,32.7,33.6,32.7,32.9
69,2023-09-01 15:00,32.9,33.1,32.5,32.7
70,2023-09-04 15:00,32.88,33.32,32.7,33.13
71,2023-09-05 15:00,33.04,33.1,31.12,31.32
72,2023-09-06 15:00,31.27,31.38,30.71,31.24
73,2023-09-11 15:00,30.7,29.8,28.5,29.85
74,2023-09-12 15:00,29.78,30.35,29.57,30.25
75,2023-09-13 15:00,29.6,29.91,28.86,29.0
76,2023-09-14 15:00,29.29,29.36,28.68,28.69
77,2023-09-15 15:00,28.7,28.95,28.22,28.5
