zs_id,seg_type,x_left,x_right,y_bottom,y_top
1,down,60,74,158.60000610351562,170.0
2,down,145,169,223.0,243.3999938964844
3,down,238,256,281.0,294.0
4,down,387,407,259.20001220703125,285.0
1,up,99,109,195.1999969482422,203.3999938964844
2,up,192,207,255.1999969482422,264.0
3,up,272,305,281.6000061035156,300.0
4,up,314,325,300.3999938964844,308.79998779296875
