zs_id,seg_type,x_left,x_right,y_bottom,y_top
1,down,63,74,40.79999923706055,43.400001525878906
2,down,271,289,36.400001525878906,40.400001525878906
3,down,302,311,32.20000076293945,35.400001525878906
4,down,319,344,29.200000762939453,32.400001525878906
1,up,85,109,35.0,39.79999923706055
2,up,118,154,40.20000076293945,45.59999847412109
