zs_id,seg_type,x_left,x_right,y_bottom,y_top
1,down,97,110,34.810001373291016,35.290000915527344
2,down,146,163,33.08000183105469,34.20000076293945
3,down,170,180,33.849998474121094,35.0
4,down,205,217,30.709999084472656,31.25
5,down,247,266,30.1200008392334,31.3799991607666
6,down,285,309,27.57999992370605,28.530000686645508
7,down,318,336,30.1200008392334,30.5
8,down,394,403,27.600000381469727,27.81999969482422
1,pending_up,14,32,31.8799991607666,32.720001220703125
2,up,63,79,33.7400016784668,34.58000183105469
3,up,416,442,27.920000076293945,28.450000762939453
4,up,468,493,32.61000061035156,33.47999954223633
