zs_id,seg_type,x_left,x_right,y_bottom,y_top
1,pending_down,22,32,80.05000305175781,84.18000030517578
2,down,164,205,125.13999938964844,129.75999450683594
3,down,213,227,113.63999938964844,120.0
4,down,385,403,144.6999969482422,151.74000549316406
5,down,445,463,86.58000183105469,92.1999969482422
1,up,72,83,83.18000030517578,85.8499984741211
2,up,91,109,84.68000030517578,91.8000030517578
3,up,137,155,117.69000244140624,124.98999786376952
4,up,239,255,110.83000183105467,113.48999786376952
5,up,294,323,140.00999450683594,142.3000030517578
6,up,327,350,143.3000030517578,151.67999267578125
7,up,359,373,153.5,169.47999572753906
