zs_id,seg_type,x_left,x_right,y_bottom,y_top
1,pending_down,23,35,55.130001068115234,74.19999694824219
2,pending_down,41,55,58.91999816894531,60.5
3,pending_down,68,87,43.34999847412109,45.79999923706055
4,down,228,241,93.9800033569336,102.52999877929688
5,down,342,352,90.11000061035156,94.80999755859376
6,down,450,467,328.8800048828125,398.6000061035156
7,down,587,606,490.1300048828125,579.4199829101562
1,up,152,164,64.76000213623047,65.87999725341797
2,up,191,203,83.66000366210938,89.37999725341797
3,up,263,290,123.73999786376952,145.5500030517578
4,up,295,317,114.0,123.9499969482422
5,up,373,388,88.6500015258789,98.26000213623048
6,up,496,516,374.510009765625,411.0
7,up,519,539,372.0199890136719,422.6000061035156
