zs_id,seg_type,x_left,x_right,y_bottom,y_top
1,down,106,120,29.81999969482422,31.979999542236328
2,down,461,488,53.880001068115234,61.5099983215332
3,down,493,512,56.31999969482422,58.34999847412109
4,down,573,593,67.56999969482422,76.30000305175781
1,pending_up,33,47,32.47999954223633,34.529998779296875
2,up,155,167,27.049999237060547,28.81999969482422
3,up,174,198,30.600000381469727,31.26000022888184
4,up,220,242,37.88999938964844,40.220001220703125
5,up,310,334,41.93000030517578,42.380001068115234
6,up,366,386,30.38999938964844,32.18000030517578
7,up,402,422,35.79999923706055,36.18000030517578
