zs_id,seg_type,x_left,x_right,y_bottom,y_top
1,down,30,51,210.5,224.0
2,down,167,192,195.0,209.0
1,up,75,95,173.5,188.0
2,up,217,232,177.0,187.0
3,up,337,351,112.5,118.5
