zs_id,seg_type,x_left,x_right,y_bottom,y_top
1,pending_down,25,36,250.02999877929688,256.3999938964844
2,pending_down,39,59,245.6000061035156,255.9600067138672
3,down,408,422,607.0,641.0
4,down,459,479,444.2200012207031,462.5
5,down,486,496,351.57000732421875,372.8299865722656
1,up,81,96,268.5899963378906,269.8399963378906
2,up,113,134,302.510009765625,309.0
3,up,162,180,339.3299865722656,357.3599853515625
4,up,187,198,359.8099975585937,373.5
5,up,272,291,483.5,510.0
6,up,302,321,476.6600036621094,502.8800048828125
7,up,522,534,391.1400146484375,394.9400024414063
