zs_id,seg_type,x_left,x_right,y_bottom,y_top
1,pending_down,36,49,109.0,114.0
2,pending_down,54,78,112.0,117.5
3,down,114,125,116.0,118.0
1,up,144,160,118.5,121.0
2,up,203,220,118.5,121.5
