zs_id,seg_type,x_left,x_right,y_bottom,y_top
1,down,115,128,89.19999694824219,93.5
1,pending_up,12,36,103.0,115.43000030517578
2,up,70,90,95.80999755859376,101.0999984741211
3,up,158,177,70.05000305175781,76.66000366210938
4,up,275,289,86.18000030517578,93.08999633789062
5,up,292,322,98.62999725341795,101.26000213623048
6,up,379,405,117.38999938964844,127.77999877929688
7,up,408,430,116.3000030517578,128.5
8,up,448,469,186.41000366210935,188.0
9,up,477,504,195.9499969482422,216.97000122070312
10,up,516,533,268.20001220703125,273.7699890136719
