from_idx,from_price,to_idx,to_price,label
39,434.7000122070313,126,627.7999877929688,XXD->XSG (蓝色实线，向上线段)
126,627.7999877929688,168,515.6599731445312,XSG->XXD (蓝色实线，向下线段)
168,515.6599731445312,194,653.7000122070312,XXD->XSG (蓝色实线，向上线段)
194,653.7000122070312,214,560.3099975585938,XSG->XXD (蓝色实线，向下线段)
214,560.3099975585938,284,818.3800048828125,XXD->XSG (蓝色实线，向上线段)
284,818.3800048828125,310,498.6700134277344,XSG->XXD (蓝色实线，向下线段)
310,498.6700134277344,375,618.8699951171875,XXD->XSG (蓝色实线，向上线段)
375,618.8699951171875,397,490.1000061035156,XSG->XXD (蓝色实线，向下线段)
397,490.1000061035156,436,579.4199829101562,XXD->XSG (蓝色实线，向上线段)
436,579.4199829101562,450,452.9599914550781,XSG->XXD (蓝色实线，向下线段)
450,452.9599914550781,463,554.4000244140625,XXD->XSG (蓝色实线，向上线段)
463,554.4000244140625,503,347.0,XSG->XXD (蓝色实线，向下线段)
503,347.0,522,453.1799926757813,XXD->XSG (蓝色实线，向上线段)
522,453.1799926757813,547,388.2799987792969,XSG->XXD (蓝色实线，向下线段)
13,492.0,39,434.7000122070313,G@k13->XXD (黄色虚线，向下线段)
547,388.2799987792969,564,452.8800048828125,XXD->G@k564 (黄色实线，向上线段)
